Ball Number,Score,Comment
19.6,1,"Kamrul Islam to Al Amin Hossain, 1 run, Al Amin Hossain goes forward to take fast ball of fulltoss aimed on the off stump, executing a confident cut that sent the ball sailing towards deep cover for 1 run."
19.5,1,"Kamrul Islam to Reece Topley, 1 run, Reece Topley goes back to take fast ball of full length aimed on the off stump, executing a confident drive that sent the ball sailing towards deep cover for 1 run."
19.4,1lb,"Kamrul Islam to Al Amin Hossain, 1 leg bye,"
19.4,1wd,"Kamrul Islam to Al Amin Hossain, 1 wide, Wide Ball !! fast ball good length on the leg stump, Kamrul Islam has sent that one, way down the leg side. The umpire signals it wide."
19.3,1,"Kamrul Islam to Reece Topley, 1 run, Reece Topley goes forward and plays off an fast ball delivers at a good length by the bowler, edged!! and the ball lands safely in the hands of the fielder at slip for 1 run."
19.2,1,"Kamrul Islam to Al Amin Hossain, 1 run, An accurately pitched fast ball on the stumps, Al Amin Hossain goes forward to make a confident push, sending the ball towards long on for 1 run."
19.1,1,"Kamrul Islam to Reece Topley, 1 run, Reece Topley goes back to take fast ball of good length aimed on the stumps, executing a confident defensive shot that sent the ball sailing towards short mid wicket for 1 run."
18.6,1,"Mohammad Saifuddin to Reece Topley, 1 run, Reece Topley goes forward and plays a well-timed push off an fast ball delivers at a full length by the bowler, but the ball lands safely in the hands of the fielder at deep mid wicket for 1 run."
18.5,1,"Mohammad Saifuddin to Al Amin Hossain, 1 run, Al Amin Hossain goes forward and plays a well-timed pull off an fast ball delivers at a full length by the bowler, but the ball lands safely in the hands of the fielder at long on for 1 run."
18.4,0,"Mohammad Saifuddin to Al Amin Hossain, no run, Dot ball !! fast ball, back of length, on the off stump, Al Amin Hossain hangs in the crease to the delivery, tries to defend it with full face of the bat, but the ball jags away at the last moment, beating the bat."
18.3,0,"Mohammad Saifuddin to Al Amin Hossain, no run, Dot ball !! bouncer, good length, on the off stump, Mohammad Saifuddin bowls a sharp delivery, and Al Amin Hossain hangs in the crease to defend the ball, but the ball nips away and beats the bat, leaving the batter stranded."
18.2,1,"Mohammad Saifuddin to Reece Topley, 1 run, Reece Topley goes forward to take inswinger of good length aimed on the stumps, executing a confident defensive shot that sent the ball sailing towards deep mid wicket for 1 run."
18.1,0,"Mohammad Saifuddin to Reece Topley, no run, Dot ball !! fast ball, fulltoss, on the stumps, Reece Topley hangs in the crease and dabs defensive shot with soft hands, edged!! and the fielder is quick to react and thwarts the ball."
17.6,W,"Nahid Rana to Samiullah Shinwari, no run, c S Hassan b N Rana, Caught out !! off cutter, good length, on the stumps, Samiullah Shinwari goes forward and takes a big risk by attempting cut towards deep point, edged!! and flies straight to Saif Hassan, who displays excellent fielding skills to complete the catch, resulting in the dismissal of Samiullah Shinwari. c S Hassan b N Rana"
17.5,0,"Nahid Rana to Samiullah Shinwari, no run, Dot ball !! fast ball, full length, on the off stump, Nahid Rana bowls a sharp delivery, and Samiullah Shinwari hangs in the crease to defend the ball, but the ball nips away and beats the bat, leaving the batter stranded."
17.4,0,"Nahid Rana to Samiullah Shinwari, no run, Dot ball !! fast ball, yorker, on the stumps, Samiullah Shinwari hangs in the crease and dabs defensive shot with soft hands, but the fielder is quick to react and thwarts the ball."
17.3,2,"Nahid Rana to Samiullah Shinwari, 2 runs, Samiullah Shinwari goes back and plays a well-timed drive off an fast ball delivers at a full length by the bowler, but the ball lands safely in the hands of the fielder at deep cover for 2 runs."
17.2,0,"Nahid Rana to Samiullah Shinwari, no run, Dot ball !! bouncer, good length, on the stumps, Nahid Rana sends down a sharp delivery, Samiullah Shinwari hangs in the crease to defend it, but mistimes the shot, beats the bat, leaving the batter confused."
17.1,0,"Nahid Rana to Samiullah Shinwari, no run, Dot ball !! inswinger, good length, on the off stump, Nahid Rana bowls a sharp delivery, and Samiullah Shinwari hangs in the crease to defend the ball, but the ball nips away and beats the bat, leaving the batter stranded."
16.6,W,"Mohammad Saifuddin to Nihaduzzaman, no run, c N Rana b M Saifuddin, Caught out !! bouncer, good length, on the stumps, Nihaduzzaman goes forward, tries a high-risk shot towards deep fine leg, but the ball finds safe hands of Nahid Rana, who makes no mistake in taking the catch. Nihaduzzaman is out. c N Rana b M Saifuddin"
16.5,1,"Mohammad Saifuddin to Samiullah Shinwari, 1 run, Samiullah Shinwari goes back to take leg cutter of yorker aimed on the stumps, executing a confident push that sent the ball sailing towards deep mid wicket for 1 run."
16.4,1,"Mohammad Saifuddin to Nihaduzzaman, 1 run, Nihaduzzaman goes back and plays a well-timed defensive shot off an inswinger delivers at a good length by the bowler, but the ball lands safely in the hands of the fielder at short cover for 1 run."
16.3,W,"Mohammad Saifuddin to Tanzim Sakib, no run, c A Hales b M Saifuddin, Caught out !! fast ball, full length, on the stumps, Tanzim Sakib goes forward, takes a big risk by attempting pull towards long on, but unfortunately, the ball flies towards Alex Hales, who displays excellent fielding skills to complete the catch, resulting in the dismissal of Tanzim Sakib. c A Hales b M Saifuddin"
16.2,1,"Mohammad Saifuddin to Samiullah Shinwari, 1 run, An accurately pitched fast ball on the stumps, Samiullah Shinwari goes forward to make a confident push, sending the ball towards deep mid wicket for 1 run."
16.1,2,"Mohammad Saifuddin to Samiullah Shinwari, 2 runs, Samiullah Shinwari goes forward to take inswinger of full length aimed on the off stump, executing a confident flick shot that sent the ball sailing towards deep mid wicket for 2 runs."
15.6,1,"Nahid Rana to Samiullah Shinwari, 1 run, Samiullah Shinwari goes forward to take fast ball of full length aimed on the stumps, executing a confident push that sent the ball sailing towards deep mid wicket for 1 run."
15.6,1wd,"Nahid Rana to Samiullah Shinwari, 1 wide, Wide Ball !! outswinger good length on the stumps, That sails wide of the leg-stump, leaving Samiullah Shinwari with no chance to make contact. The umpire calls it a wide."
15.5,0,"Nahid Rana to Samiullah Shinwari, no run, Dot ball !! inswinger, good length, on the off stump, Samiullah Shinwari hangs in the crease to the delivery, tries to defend it with full face of the bat, but the ball jags away at the last moment, beating the bat."
15.4,1,"Nahid Rana to Tanzim Sakib, 1 run, Tanzim Sakib goes forward and plays a well-timed pull off an inswinger delivers at a full length by the bowler, but the ball lands safely in the hands of the fielder at long on for 1 run."
15.3,2,"Nahid Rana to Tanzim Sakib, 2 runs, Tanzim Sakib goes forward and plays a well-timed pull off an fast ball delivers at a full length by the bowler, but the ball lands safely in the hands of the fielder at deep mid wicket for 2 runs."
15.2,W,"Nahid Rana to Jaker Ali Anik, no run, c & b N Rana, Caught out !! bouncer, good length, on the off stump, Jaker Ali Anik goes forward, tries a high-risk shot towards , but the ball finds safe hands of Nahid Rana, who makes no mistake in taking the catch. Jaker Ali Anik is out. c & b N Rana"
15.1,6,"Nahid Rana to Jaker Ali Anik, Six, Six !! What a delivery! inswinger lands right on the stumps, Jaker Ali Anik goes forward, exhibits impeccable timing as batter hammers pull sending it flying to the long off region for a remarkable Maximum!"
14.6,1,"Khushdil Shah to Jaker Ali Anik, 1 run, An accurately pitched arm ball on the off stump, Jaker Ali Anik goes back to make a confident drive, sending the ball towards deep cover for 1 run."
14.5,1,"Khushdil Shah to Samiullah Shinwari, 1 run, Samiullah Shinwari goes forward to take arm ball of full length aimed on the stumps, executing a confident sweep that sent the ball sailing towards deep square leg for 1 run."
14.4,0,"Khushdil Shah to Samiullah Shinwari, no run, Dot ball !! carrom ball, full length, on the stumps, Samiullah Shinwari hangs in the crease, trying to hit reverse sweep, but the ball shapes away late, beats the bat."
